"living_space","rooms","cold_rent","construction_year","quarter","lambert_poistion_x","lambert_poistion_y","city","postcode","heating_type","number_of_bedrooms","rent_per_square_meter","publish_date","latitude","longitude"
"46.02","2","660","1987","Hamb.-Altstadt","-846","2619472","Hamburg","20459","5","","17.208","2019-03-28 23:00:00","53.54612932357565","9.987060451471402"
"79.944","3","890.82","1959","Hamm-Nord","3374","2620705","Hamburg","20535","7","","13.368","2019-02-28 23:00:00","53.55735129745121","10.051618320076772"
"100.8","3","1632","2016","Lokstedt","-2352","2624231","Hamburg - Lokstedt","22529","7","1","19.428","2019-03-28 23:00:00","53.58947591295184","9.963990994564178"
"64.8","2","780","1976","Billstedt","8282","2618824","Hamburg Ojendorf/Billstedt","22117","5","","14.448","2019-02-28 23:00:00","53.54016278874059","10.126655987108938"
"84.24","3.5","852","1964","Duvenstedt","7603","2636524","Hamburg","22397","6","1","12.132","2019-02-28 23:00:00","53.70139689240669","10.116696660358372"
"96.54","3.5","1074","1978","Hummelsbüttel","2211","2629459","Hamburg","22339","6","","13.344","2019-02-28 23:00:00","53.63709729997065","10.033886756723168"
"86.952","2.5","1344","1992","Winterhude","-363","2624760","Hamburg","22299","1","","18.552","2019-03-28 23:00:00","53.59429965021239","9.9944418822453"
"98.88","3.5","1134","1974","Bahrenfeld","-6860","2621691","Hamburg","22761","5","2","13.764","2019-02-28 23:00:00","53.56629969891901","9.895028659375777"
"48","2","1080","","Neustadt","-1677","2619478","Hamburg","20459","1","","27","2019-06-30 22:00:00","53.54618201760816","9.974350296683044"
"70.8","2.5","1200","2022","Altona-Altstadt","-3478","2619501","Hamburg","22767","5","1","20.34","2019-02-28 23:00:00","53.546382843605834","9.946803769671156"
"144","1.5","1440","1980","Hausbruch","-7226","2610391","Hamburg","21149","8","","12","2019-01-31 23:00:00","53.46335365061075","9.889684526307843"
"88.8","2.5","1620","1909","Eimsbüttel","-3778","2622957","Hamburg","20257","5","","21.888","2019-05-30 22:00:00","53.577862708009235","9.94217417021451"
"85.2","2.5","1140","","Schnelsen","-5756","2629324","Hamburg","22457","1","","16.056","2019-06-30 22:00:00","53.63584115152334","9.91178350530424"
"95.16","3.5","1044","2000","Allermöhe","10004","2612975","Hamburg","21035","","2","13.164","2019-06-30 22:00:00","53.48684980688342","10.152806627562539"
"64.68","2.5","618","","Hamm-Mitte","3010","2620444","Hamburg","20537","","1","11.46","2019-05-30 22:00:00","53.55497591728039","10.046047068962917"
"86.4","3.5","533.424","1966","Rahlstedt","10165","2623601","Hamburg","22149","1","","7.404","2019-06-30 22:00:00","53.58364554861462","10.155605268271584"
"126","5","2378.4","","Rotherbaum","-1135","2622055","Hamburg","20146","5","","22.656","2019-04-30 22:00:00","53.569658354032036","9.982630981299012"
"112.596","3.5","1464","2018","Volksdorf","10388","2632148","Hamburg","22359","5","2","15.6","2019-06-30 22:00:00","53.66149309274699","10.159299053858607"
"57.6","2.5","451.62","1934","Bahrenfeld","-6876","2622323","Hamburg","22761","5","","9.408","2019-04-30 22:00:00","53.572056548406444","9.894770150998596"
"113.16","3.5","1554","2020","Bramfeld","3814","2624809","Hamburg","22177","3|5","2","16.476","2019-01-31 23:00:00","53.59473248038938","10.058399092473408"
"58.8","2.5","1411.2","2021","Neustadt","-1093","2619913","Hamburg","20459","2","1","28.8","2019-01-31 23:00:00","53.5501461642804","9.983281077189531"
"78","2.5","756","","Rahlstedt","9570","2626656","Hamburg","22147","5","","11.628","2019-01-31 23:00:00","53.6114843935705","10.146589202413624"
"74.664","2.5","1327.524","2020","Hamb.-Altstadt","-594","2619442","Hamburg","20457","7","","21.336","2019-03-28 23:00:00","53.54585637767777","9.990914841057817"
"38.4","1.5","533.76","1977","Rissen","-16122","2623503","Hamburg","22559","7","","16.68","2019-02-28 23:00:00","53.58260612286469","9.753210820273878"
"80.976","2.5","1188","2021","Marienthal","6117","2622456","Hamburg","22043","5","","17.604","2019-03-28 23:00:00","53.57327731464095","10.093616737278575"
"65.04","2.5","882","2023","Bergedorf","14509","2612490","Hamburg","21029","1","","16.272","2019-03-28 23:00:00","53.482328125539325","10.221596081061163"
"61.8","3.5","861.6","1959","Hoheluft-West","-2491","2623185","Hamburg","20253","7","","16.728","2019-04-30 22:00:00","53.579947157813905","9.961871118361527"
"72.552","2.5","834.348","2009","Bahrenfeld","-6111","2620922","Hamburg","22763","","1","13.8","2019-05-30 22:00:00","53.559303720673","9.906504589811004"
"48.6","2.5","468","","Marienthal","4316","2621906","Hamburg","22041","6","1","11.556","2019-02-28 23:00:00","53.56828482890007","10.066046140170481"
"140.88","3.5","2400","2015","Ottensen","-4590","2619860","Hamburg","22765","7","2","20.448","2019-05-30 22:00:00","53.54964475263419","9.929790486680506"
"76.8","3","960","1978","Rahlstedt","9705","2625938","Hamburg","22143","1","2","15","2019-03-28 23:00:00","53.60494181098676","10.148635099084157"
"103.896","3.5","1545.396","2018","Stellingen","-4656","2623936","Hamburg","22525","7","","17.844","2019-06-30 22:00:00","53.58677360643164","9.928721209797342"
"108.864","3.5","1404","2023","Langenhorn","1023","2631720","Hamburg","22419","5","","15.48","2019-03-28 23:00:00","53.6576950507083","10.015686253800272"
"57.276","1.5","973.692","2002","Eppendorf","-864","2624302","Hamburg","20249","1","1","20.4","2019-01-31 23:00:00","53.59012714040721","9.986772007935274"
"141.6","3.5","2264.4","2015","Winterhude","-101","2624589","Hamburg","22299","7","2","19.188","2019-06-30 22:00:00","53.59274212320661","9.99845358088142"
"69.228","3","658.02","1940","Ohlsdorf","2093","2626633","Hamburg","22337","7","1","11.412","2019-03-28 23:00:00","53.6113566557046","10.032059574282048"
"66","3","669.6","","Dulsberg","4216","2624079","Hamburg","22049","","","12.18","2019-06-30 22:00:00","53.588079862240505","10.064544724726698"
"72","2.5","834","1961","Ohlsdorf","2159","2627588","Hamburg","22335","","","13.896","2019-06-30 22:00:00","53.620055267659126","10.033077033803188"
"105.6","2.5","2280","","Rotherbaum","-507","2621837","Hamburg","20148","5","1","25.908","2019-01-31 23:00:00","53.56767349712103","9.992241675962608"
"89.4","2.5","1254","1907","Langenhorn","481","2633517","Hamburg","22419","17","","16.836","2019-01-31 23:00:00","53.674063288274894","10.007378185177608"
"102","2.5","1500","2022","Altona-Nord","-3947","2621089","Hamburg","22765","1","","17.652","2019-05-30 22:00:00","53.560845370317594","9.93961067418279"
"92.4","3.5","1080","1904","Barmbek-Süd","1511","2622648","Hamburg","22083","5","","14.028","2019-03-28 23:00:00","53.57505920091872","10.023125804621104"
"66","2.5","1152","1983","Eppendorf","-1293","2624786","Hamburg","20251","7","1","20.94","2019-01-31 23:00:00","53.59453504076298","9.980201970926776"
"67.2","2.5","436.584","1973","Rahlstedt","9393","2627276","Hamburg","22147","1","","7.8","2019-06-30 22:00:00","53.6171349772977","10.143896365281075"
"50.4","1.5","267.216","1979","Lohbrügge","12966","2615427","Hamburg","21031","7","","6.36","2019-03-28 23:00:00","53.50912390248884","10.198149408214709"
"78","2.5","828","","Rissen","-15589","2623425","Hamburg","22559","","","12.744","2019-03-28 23:00:00","53.58191145204811","9.761373545262623"
"48.552","1.5","504","1974","Iserbrook","-12267","2623533","Hamburg","22589","10","","12.456","2019-03-28 23:00:00","53.58298194573032","9.8122201818783"
"60.996","2.5","751.2","2022","Sasel","6547","2630755","Hamburg","22393","17","","14.784","2019-02-28 23:00:00","53.64886624445013","10.100368937423037"
"86.328","3.5","774","1960","Barmbek-Nord","3729","2624051","Hamburg","22305","5","","10.764","2019-01-31 23:00:00","53.587828434365015","10.057088687137027"
"127.08","3.5","1438.548","2017","Rahlstedt","10496","2625921","Hamburg","22143","7","2","13.584","2019-06-30 22:00:00","53.604771980050884","10.160748911773645"
"65.1","2.5","876","1904","Bahrenfeld","-5209","2621146","Hamburg-Bahrenfeld","22761","5","","16.152","2019-02-28 23:00:00","53.5613537811874","9.920301080788391"
"225.6","6.5","3702","","Eppendorf","","","Hamburg-Eppendorf","20249","","4","19.692","2019-01-31 23:00:00","",""
"49.2","1.5","516","1987","Niendorf","-3116","2630492","Hamburg","22455","","1","12.588","2019-05-30 22:00:00","53.64650184093257","9.95223265484637"
"72.72","2.5","585.396","1971","Farmsen-Berne","7596","2625644","Hamburg","22159","5","","9.66","2019-02-28 23:00:00","53.60229800421341","10.116328126995672"
"70.8","1.5","840","1860","St. Georg","809","2620894","Hamburg","20099","7","","14.232","2019-06-30 22:00:00","53.55908302091429","10.012377252571637"
"79.224","3.5","1740","2021","Hamb.-Altstadt","44","2619599","Hamburg","20457","7","2","26.352","2019-04-30 22:00:00","53.54728690026146","10.000672996460077"
"72.6","2.5","1236","2023","Hammerbrook","1255","2619428","Hamburg","20097","7","","20.424","2019-06-30 22:00:00","53.54572769999365","10.019195019296918"
"111.6","3.5","1680","1940","Othmarschen","-7509","2620605","Hamburg","22605","6","","18.06","2019-04-30 22:00:00","53.556398212570684","9.885123369907333"
"67.536","2.5","898.8","2017","Bahrenfeld","-8478","2622387","Hamburg","22607","10","1","15.972","2019-04-30 22:00:00","53.57261649549755","9.870251585998059"
"88.8","3.5","480.36","1971","Rahlstedt","9950","2623389","Hamburg","22149","7","","6.492","2019-01-31 23:00:00","53.58171846997477","10.152307425988226"
"19.2","1.5","480","","Finkenwerder","-8023","2618156","Hamburg","21129","1","1","30","2019-05-30 22:00:00","53.53408152646108","9.877321716467526"
"48","1.5","552","","Billstedt","9860","2617231","Hamburg","22115","1","","13.8","2019-03-28 23:00:00","53.52562432541067","10.150738802842326"
"84","2.5","1050","1982","Wandsbek","6179","2623117","Hamburg","22041","5","1","15","2019-04-30 22:00:00","53.579297775060944","10.094578465499605"
"50.112","2.5","555.744","1957","Horn","5673","2619829","Hamburg","22111","7","","13.308","2019-03-28 23:00:00","53.54935195104369","10.086774720763735"
"59.556","2.5","627.6","1964","Jenfeld","8662","2622575","Hamburg","22145","1","1","12.648","2019-06-30 22:00:00","53.574326073015115","10.132569494473389"
"74.4","3","503.724","1964","Eißendorf","-2999","2609641","Hamburg","21075","5","","8.124","2019-04-30 22:00:00","53.45656122635217","9.954222889275993"
"67.668","2.5","643.2","","Barmbek-Süd","3350","2623178","Hamburg","22081","7","1","11.412","2019-05-30 22:00:00","53.579878692440886","10.051277222201678"
"48","2","349.128","1986","Eißendorf","-2165","2610005","Hamburg","21073","5","","8.724","2019-04-30 22:00:00","53.459881453974425","9.966950699501101"
"108","3.5","1350","1939","Langenhorn","1667","2632868","Hamburg","22417","5","2","15","2019-05-30 22:00:00","53.6681496990037","10.025567128487152"
"102","3.5","1312.8","2016","St. Pauli","-2675","2619997","Hamburg","20359","24","2","15.444","2019-06-30 22:00:00","53.55090577814898","9.959081530547246"
"164.16","3.5","3360","","Winterhude","-252","2623537","Hamburg","22301","","2","24.564","2019-02-28 23:00:00","53.583159329924236","9.99614244285168"
"108","3.5","1350","2006","Eißendorf","-2510","2608676","Hamburg","21077","5","2","15","2019-02-28 23:00:00","53.44777210161351","9.961694628364642"
"82.908","3.5","678","1974","Hummelsbüttel","1644","2629674","Hamburg","22339","7","","9.816","2019-04-30 22:00:00","53.639057683591204","10.025197782526465"
"102","4.5","1275","2013","Langenhorn","-1","2633010","Hamburg","22419","11","3","15","2019-06-30 22:00:00","53.66944567048594","9.999984662340793"
"70.212","2.5","690","1987","Rahlstedt","11343","2624976","Hamburg Rahlstedt","22149","8","","11.796","2019-06-30 22:00:00","53.59614671733331","10.17368710153314"
"42.636","2.5","810.012","1961","Hamm-Nord","3180","2621189","Hamburg","20535","7","","22.8","2019-06-30 22:00:00","53.56176142585287","10.048655186212377"
"103.2","4","1500","","Hohenfelde","1562","2621290","Hamburg","22087","7","1","17.436","2019-01-31 23:00:00","53.56268865633194","10.023899681635939"
"81.6","2.5","780","1970","Sasel","6916","2631191","Hamburg-Sasel","22393","5","1","11.472","2019-04-30 22:00:00","53.65283283512071","10.10603541894015"
"52.2","2.5","500.4","1960","Barmbek-Süd","2391","2622936","Hamburg","22083","5","","11.508","2019-04-30 22:00:00","53.57767943214401","10.036596341560111"
"57.6","2","524.748","1990","Bramfeld","4907","2626885","Hamburg","22177","5","1","10.932","2019-01-31 23:00:00","53.61363360429007","10.075166960888653"
"67.2","2.5","972","1986","Ottensen","-5136","2620137","Hamburg","22763","7","","17.352","2019-06-30 22:00:00","53.5521631018077","9.92143429860064"
"132","4.5","2018.4","2019","Bahrenfeld","-4871","2621247","Hamburg","22761","24","3","18.348","2019-02-28 23:00:00","53.56227701647231","9.925471008389593"
"70.044","2.5","780","1999","Schnelsen","-6465","2629096","Hamburg","22457","5","1","13.368","2019-04-30 22:00:00","53.63375627270201","9.900922031838142"
"78","2.5","766.8","1953","Hamm-Nord","3780","2621514","Hamburg","20535","7","1","11.796","2019-05-30 22:00:00","53.56471804835954","10.057839272206689"
"60","1.5","1440","1902","Hohenfelde","1186","2621462","Hamburg","22087","7","","28.8","2019-03-28 23:00:00","53.564256429724615","10.018147263417951"
"44.88","1.5","416.4","1964","Niendorf","-3214","2627479","Hamburg","22459","5","","11.136","2019-06-30 22:00:00","53.619057100533254","9.950760911473695"
"98.4","3.5","1420.8","2018","Barmbek-Nord","2289","2624716","Hamburg","22303","7","","17.328","2019-05-30 22:00:00","53.59389406663728","10.035047976373797"
"29.268","1.5","360","1908","Heimfeld","-2493","2610410","Hamburg","21075","5","","14.76","2019-06-30 22:00:00","53.46356974237097","9.961940530637667"
"86.4","3.5","822","1970","Eidelstedt","-6530","2627231","Hamburg","22523","6","","11.412","2019-03-28 23:00:00","53.61676783279748","9.899964317630024"
"72.48","2.5","712.8","","Wellingsbüttel","4055","2629540","Hamburg","22391","1","","11.796","2019-02-28 23:00:00","53.637824251173924","10.062149737146067"
"38.4","1.5","460.8","1961","Borgfelde","2230","2620546","Hamburg","20535","7","1","14.4","2019-06-30 22:00:00","53.55590890577666","10.034115323345711"
"52.416","1.5","655.2","1963","Stellingen","-3590","2623744","Hamburg","22527","5","","15","2019-06-30 22:00:00","53.58503289850139","9.9450427878189"
"51","2","840","1975","St. Pauli","-2815","2619838","Hamburg","20359","5","","19.764","2019-02-28 23:00:00","53.54945665173416","9.956941411176645"
"78.096","3.5","624.768","1968","Eidelstedt","-7447","2626456","Hamburg","22523","7","","9.6","2019-03-28 23:00:00","53.60969650414618","9.885934649804597"
"133.068","3.5","1734","2023","Langenhorn","1023","2631720","Hamburg","22419","5","","15.636","2019-02-28 23:00:00","53.6576950507083","10.015686253800272"
"104.748","3.5","1361.724","2023","Groß Borstel","-1793","2625760","Hamburg","22529","19","","15.6","2019-03-28 23:00:00","53.60340571355749","9.972540617124817"
"135.072","3","2212.8","","Hoheluft-Ost","-1403","2623827","Hamburg","20257","1","1","19.656","2019-05-30 22:00:00","53.58579918645619","9.97852192275009"
"60","2.5","816","1960","Heimfeld","-2217","2610477","Hamburg","21075","5","","16.32","2019-05-30 22:00:00","53.464181353415995","9.966153628113751"
"48","2.5","624","","Stellingen","-4740","2624068","Hamburg","22525","5","","15.6","2019-06-30 22:00:00","53.58797526449465","9.927433282144996"
"61.2","2.5","780","1922","Bahrenfeld","-4769","2621301","Hamburg","22761","5","","15.3","2019-06-30 22:00:00","53.56276984186259","9.927030853438747"
"60","1.5","1440","1902","Hohenfelde","1186","2621462","Hamburg","22087","7","","28.8","2019-02-28 23:00:00","53.564256429724615","10.018147263417951"
"76.8","3.5","1356","1913","Eimsbüttel","-3561","2623306","Hamburg","20257","5","","21.192","2019-02-28 23:00:00","53.58104329730466","9.945491643896016"
"42.18","1.5","572.4","1980","Wandsbek","5530","2623264","Hamburg","22047","6","1","16.284","2019-02-28 23:00:00","53.58064394060996","10.084647157705056"
"75.6","3.5","717.6","","Harburg","-1514","2609656","Hamburg-Harburg","21073","5","2","11.388","2019-06-30 22:00:00","53.45670414630369","9.976890041537033"
"48","1.5","531.6","","Wandsbek","5188","2623193","Hamburg","22041","1","","13.296","2019-02-28 23:00:00","53.58000062569564","10.079411042033561"
"132","3.5","1788","2017","Eimsbüttel","-3947","2623200","Hamburg","20257","5","2","16.26","2019-05-30 22:00:00","53.58007501202525","9.93958444787837"
"105.6","3.5","1795.2","2023","Eimsbüttel","-3304","2622822","Hamburg","20255","1","2","20.4","2019-06-30 22:00:00","53.576636113258445","9.949430586325873"
"65.82","2.5","785.556","1932","Winterhude","951","2624165","Hamburg","22301","7","","14.316","2019-01-31 23:00:00","53.588879051928735","10.014559566898038"
"98.4","4.5","924","2002","Bramfeld","5251","2626253","Hamburg","22179","5","","11.268","2019-04-30 22:00:00","53.60787355402039","10.080425991707752"
"129.6","3.5","1560","1904","Farmsen-Berne","7756","2624824","Hamburg","22159","1","","14.448","2019-04-30 22:00:00","53.59482636648411","10.118758381695503"
"66","2.5","762","","Bramfeld","5106","2626925","Hamburg","22179","1","1","13.86","2019-04-30 22:00:00","53.613996087353435","10.078215947062512"
"28.92","1.5","423.108","1957","Harvestehude","-1108","2622406","Hamburg","20146","1","","17.556","2019-05-30 22:00:00","53.57285575798028","9.983042940812293"
"96","4","996","1914","Stellingen","-5865","2625007","Hamburg","22525","6","2","12.456","2019-06-30 22:00:00","53.59651745214993","9.910192832125349"
"121.2","4","1959.6","","Altona-Altstadt","-3615","2620106","Hamburg - Altona","22767","8","","19.404","2019-06-30 22:00:00","53.551893172897486","9.944701469301114"
"169.2","4.5","2518.26","1932","Eimsbüttel","-1928","2622317","Hamburg","20144","7","","17.856","2019-06-30 22:00:00","53.57204270348953","9.970494033867135"
"61.44","1.5","1416","2021","Hamb.-Altstadt","44","2619599","Hamburg","20457","7","","27.66","2019-01-31 23:00:00","53.54728690026146","10.000672996460077"
"82.98","3","864","1960","Hamm-Nord","3297","2620645","Hamburg","20535","7","2","12.492","2019-04-30 22:00:00","53.55680521442102","10.050439686702628"
"72","3.5","954","1947","Bramfeld","4860","2626112","Hamburg","22179","1","3","15.9","2019-02-28 23:00:00","53.606592911536545","10.074435154566245"
"67.86","3","612","1964","Bergedorf","15293","2612613","Hamburg","21029","","1","10.824","2019-03-28 23:00:00","53.48342682654029","10.2335759405517"
"46.8","1.5","630","1997","Schnelsen","-4751","2628778","Hamburg","22459","5","1","16.152","2019-06-30 22:00:00","53.63087777639485","9.927194319490862"
"62.4","3","756","1940","Winterhude","460","2625473","Hamburg","22297","5","","14.544","2019-04-30 22:00:00","53.600794269407096","10.007044378424176"
"100.56","3.5","1260","","Farmsen-Berne","7743","2624826","Hamburg - Farmsen-Berne","22159","3","","15.036","2019-01-31 23:00:00","53.594844773307095","10.118559377328346"
"78","3.5","860.496","","Eilbek","3525","2622437","Hamburg","22089","1","","13.236","2019-01-31 23:00:00","53.57312765332538","10.053947658252056"
"106.8","4.5","1020","1942","Alsterdorf","398","2626077","Hamburg","22297","7","3","11.46","2019-04-30 22:00:00","53.60629609653629","10.006095676521564"
"50.4","1.5","720","","Marienthal","6576","2621812","Hamburg","22043","1","1","17.148","2019-02-28 23:00:00","53.56740549742711","10.100628097881248"
"109.068","5","730.752","1971","Neugraben-Fischbek","-8730","2611598","Hamburg","21147","7","","8.04","2019-05-30 22:00:00","53.474327380669976","9.86669079324489"
"79.8","3.5","732","1966","Rahlstedt","10715","2625507","Hamburg","22143","6","","11.004","2019-03-28 23:00:00","53.60099654565589","10.164088958432748"
"99.42","3.5","1320","1904","St. Georg","789","2620305","Hamburg","20099","5","","15.936","2019-03-28 23:00:00","53.55371760783436","10.012069801803474"
"62.16","2.5","564","1996","Harburg","-1882","2610125","Hamburg","21073","5","1","10.884","2019-05-30 22:00:00","53.46097577531196","9.971270061927548"
"105.6","3.5","1104","1904","Rotherbaum","-1272","2622106","Hamburg","20146","5","1","12.54","2019-06-30 22:00:00","53.57012261768199","9.980534252478387"
"90","3.5","1044","2023","Allermöhe","12703","2610867","Hamburg / Curslack","21037","5","","13.92","2019-06-30 22:00:00","53.46758815466877","10.19394854612883"
"82.044","3.5","713.784","1969","Lurup","-7659","2625845","Hamburg","22547","7","","10.44","2019-05-30 22:00:00","53.60412799118309","9.882702215055236"
"69.6","2.5","458.568","1969","Lohbrügge","13016","2615561","Hamburg","21031","7","","7.908","2019-01-31 23:00:00","53.51034341034345","10.198918991006327"
"88.8","3.5","948","2003","Rahlstedt","9029","2625698","Hamburg","22147","7","2","12.816","2019-01-31 23:00:00","53.6027675515007","10.138275142118447"
"186","4","2325","1993","Altona-Altstadt","-3278","2619264","Hamburg","22767","1","","15","2019-03-28 23:00:00","53.54422515071912","9.949865223949907"
"66","2.5","811.2","2002","Wandsbek","5022","2623152","Hamburg","22041","6","","14.748","2019-01-31 23:00:00","53.57962873843037","10.076869487059048"
"42","1.5","600","","Hoheluft-West","-2165","2623418","Hamburg","20253","1","","17.148","2019-01-31 23:00:00","53.58207101096558","9.966859499154012"
"58.032","3","580.32","1957","Horn","5662","2619847","Hamburg","22111","7","","12","2019-03-28 23:00:00","53.54951603842486","10.086606784409648"
"62.4","2.5","900","","Barmbek-Süd","2037","2622750","Hamburg","22083","1","","17.304","2019-04-30 22:00:00","53.575986591339756","10.031176870405124"
"48.264","1.5","547.8","1956","Dulsberg","4112","2623073","Hamburg","22049","7","","13.62","2019-01-31 23:00:00","53.57891690280103","10.062939512311374"
"85.2","3.5","900","2007","Bramfeld","5408","2627214","Hamburg","22179","5","2","12.672","2019-06-30 22:00:00","53.61662554434907","10.08284704120314"
"74.412","2.5","717.6","1972","Billstedt","6938","2619456","Hamburg Horn","22119","5","","11.568","2019-04-30 22:00:00","53.545939171267904","10.106116114007126"
"51.684","2.5","492","1959","Barmbek-Nord","2843","2624206","Hamburg-Barmbek","22305","1","","11.424","2019-03-28 23:00:00","53.58924579606668","10.043525966044758"
"169.104","4.5","2376","2019","Bergedorf","14721","2613695","Hamburg","21029","3|5","3","16.86","2019-01-31 23:00:00","53.49329999828422","10.224889566446674"
"154.8","4.5","2640","2023","Othmarschen","-6183","2619843","Hamburg","22605","1","","20.46","2019-04-30 22:00:00","53.549473821874","9.905424008990362"
"58.8","2.5","780","","Eppendorf","-1091","2624896","Hamburg","20251","1","","15.924","2019-06-30 22:00:00","53.5955374815536","9.983294556200292"
"24","1.5","480","1974","Eißendorf","-3705","2609189","Hamburg","21075","5","","24","2019-01-31 23:00:00","53.45243886426888","9.943451664509277"
"77.436","3.5","1086","1974","Ohlsdorf","2208","2627426","Hamburg","22337","6","1","16.824","2019-06-30 22:00:00","53.61857945266936","10.033826611509403"
"67.2","2.5","600","1972","Tonndorf","9068","2624133","Hamburg","22045","1","","10.716","2019-03-28 23:00:00","53.588511347765625","10.138827688513299"
"117.6","4.5","1003.644","1983","Eißendorf","-3827","2609761","Hamburg","21075","1","","10.236","2019-01-31 23:00:00","53.457649199357554","9.94158276030944"
"64.8","2.5","684","2003","Tonndorf","8790","2624298","Hamburg","22045","","2","12.672","2019-01-31 23:00:00","53.590018992347844","10.134576190940031"
"67.2","2.5","1248","1960","Winterhude","-451","2624786","Hamburg","22299","10","1","22.284","2019-03-28 23:00:00","53.59453641711616","9.993094422817386"
"136.2","4.5","1620","","Eidelstedt","-7271","2626853","Hamburg","22523","","3","14.268","2019-01-31 23:00:00","53.61331512886808","9.888621326753228"
"130.524","4.5","1696.812","2023","Groß Borstel","-1793","2625760","Hamburg","22529","19","","15.6","2019-02-28 23:00:00","53.60340571355749","9.972540617124817"
"66","2.5","660","1998","Wandsbek","5253","2623306","Hamburg","22041","5","1","12","2019-05-30 22:00:00","53.58102932335275","10.08040784452949"
"65.64","2.5","1411.26","2022","HafenCity","-230","2619150","Hamburg, HafenCity","20457","7","1","25.8","2019-03-28 23:00:00","53.54319667342541","9.996482388645637"
"56.4","1.5","614.004","1975","Hummelsbüttel","2871","2630003","Hamburg","22339","5","0","13.068","2019-02-28 23:00:00","53.64204918190482","10.04400713580513"
"96","4","930","1904","Langenhorn","831","2630195","Hamburg","22415","5","","11.628","2019-05-30 22:00:00","53.64380509437706","10.012738202832473"
"120","5","1182","","Bergedorf","14319","2612608","Hamburg","21029","1","","11.82","2019-05-30 22:00:00","53.48340824487753","10.21869952363209"
"88.8","2.5","1302","1978","Rotherbaum","-297","2622188","Hamburg","20148","","1","17.592","2019-01-31 23:00:00","53.57087101006368","9.995454854837622"
"40.8","1.5","474","1990","Sülldorf","-12624","2623549","Hamburg","22589","6","","13.944","2019-02-28 23:00:00","53.5831193645026","9.806754713446239"
"81.072","3.5","697.224","2022","Stellingen","-4654","2625409","Hamburg","22529","17","","10.32","2019-02-28 23:00:00","53.60019119210035","9.928730227380905"
"65.88","2.5","898.8","2023","Harburg","-1120","2610603","Hamburg","21079","4","","16.368","2019-06-30 22:00:00","53.46533268283217","9.982900803541199"
"132","4.5","1848","1915","Rotherbaum","-1216","2621964","Hamburg","20146","5","","16.8","2019-03-28 23:00:00","53.56882923180283","9.981391778518077"
"106.2","3.5","1167.6","1988","Marienthal","5466","2621758","Hamburg","22043","5","","13.188","2019-05-30 22:00:00","53.56692611683444","10.083641602504605"
"47.844","2","670.8","1994","Eidelstedt","-6093","2626103","Hamburg","22527","5","","16.824","2019-01-31 23:00:00","53.606498270433164","9.90668056172297"
"43.08","1.5","603.12","1957","Winterhude","325","2624062","Hamburg","22301","7","","16.8","2019-06-30 22:00:00","53.58794156665492","10.004975561525178"
"66.096","2.5","900","2021","Langenhorn","791","2631049","Hamburg","22415","17","1","16.344","2019-04-30 22:00:00","53.65158374658279","10.012127185980388"
"79.152","3.5","1980","2021","Hamb.-Altstadt","45","2619600","Hamburg","20457","7","2","30.024","2019-05-30 22:00:00","53.54729600968657","10.000688291975663"
"122.4","3.5","1110","","Langenhorn","1983","2633333","Hamburg","22417","1","","10.884","2019-03-28 23:00:00","53.67238391599172","10.030416601767184"
"99.108","3.5","987.6","2001","Marmstorf","-2911","2608072","Hamburg","21077","7","","11.952","2019-03-28 23:00:00","53.44226727778345","9.95558042998099"
"92.4","3.5","1179.6","","Langenhorn","777","2633283","Hamburg","22419","1","2","15.324","2019-04-30 22:00:00","53.67193163344107","10.011918031809914"
"107.544","3.5","1422","2023","Langenhorn","1023","2631720","Hamburg","22419","5","","15.864","2019-04-30 22:00:00","53.6576950507083","10.015686253800272"
"46.8","1.5","660","","Barmbek-Nord","2694","2625899","Hamburg","22307","1","1","16.92","2019-05-30 22:00:00","53.60466806015161","10.0412591688871"
"84","3.5","1776","1924","Eppendorf","-1336","2624997","Hamburg","22303","10","","25.368","2019-03-28 23:00:00","53.59645693162821","9.979542679522721"
"32.4","1.5","426","","Eimsbüttel","-2474","2622016","Hamburg","22253","1","","15.78","2019-04-30 22:00:00","53.56929856555116","9.962140436429134"
"141.276","3.5","2048.4","1909","Uhlenhorst","784","2622513","Hamburg","22085","7","","17.4","2019-04-30 22:00:00","53.57383101977944","10.011998760939068"
"56.4","2.5","900","1964","Barmbek-Süd","2041","2622815","Hamburg","22083","5","1","19.152","2019-06-30 22:00:00","53.57657867384091","10.031238509235747"
"64.092","3.5","690.276","1957","Bahrenfeld","-5816","2621666","Hamburg","22761","7","","12.924","2019-02-28 23:00:00","53.56608436272194","9.911004330610094"
"86.496","3.5","865.752","1960","Barmbek-Nord","3729","2624051","Hamburg","22305","5","","12.012","2019-03-28 23:00:00","53.587828434365015","10.057088687137027"
"134.4","5","2460","2015","HafenCity","-263","2619006","Hamburg","20457","7","","21.96","2019-03-28 23:00:00","53.54188488167536","9.995977806943374"
"72.924","3","1056","1946","Hamm-Nord","3280","2621215","Hamburg","20535","7","1","17.376","2019-02-28 23:00:00","53.561997663897344","10.050185491382354"
"87.6","3","1481.964","","Rotherbaum","-1329","2621452","Hamburg","20146","1","","20.304","2019-06-30 22:00:00","53.56416499958407","9.979664702055949"
