"living_space","rooms","cold_rent","construction_year","quarter","lambert_poistion_x","lambert_poistion_y","city","postcode","heating_type","number_of_bedrooms","rent_per_square_meter","publish_date","latitude","longitude"
"60.528","2.5","575.4","1939","Ohlsdorf","2153","2626259","Hamburg","22337","7","","11.412","2019-06-30 22:00:00","53.6079497123341","10.032976086483032"
"48","1.5","426","","Farmsen-Berne","7645","2625502","Hamburg","22159","1","","10.656","2019-04-30 22:00:00","53.601003838612115","10.117075109165176"
"72","2.5","460.8","2023","Farmsen-Berne","7687","2626633","Hamburg","22159","1","1","7.68","2019-06-30 22:00:00","53.61130535908215","10.11774570331"
"140.4","4.5","1890","1910","Blankenese","-12711","2621583","Hamburg","22587","5","2","16.152","2019-04-30 22:00:00","53.565208633278054","9.805501615049689"
"100.56","3.5","1140","1967","Niendorf","-3374","2628152","Hamburg","22459","6","","13.608","2019-01-31 23:00:00","53.62518626615089","9.94830251794844"
"69.552","3","1500","1904","St. Pauli","-2427","2620526","Hamburg","20359","5","","25.884","2019-05-30 22:00:00","53.55572585827293","9.962871054617215"
"38.4","1.5","420","","Billstedt","8151","2617778","Hamburg","22117","5","1","13.128","2019-02-28 23:00:00","53.530636138992755","10.12462582402826"
"48","1.5","900","","Harvestehude","-1502","2622306","Hamburg","20144","1","","22.5","2019-02-28 23:00:00","53.57194387069617","9.977013557171997"
"79.98","2.5","1237.2","2018","Winterhude","1428","2624318","Hamburg","22303","1","","18.564","2019-03-28 23:00:00","53.59027167365643","10.02186300291118"
"91.2","3.5","720","1916","Blankenese","-11918","2621404","Hamburg","22587","5","","9.468","2019-06-30 22:00:00","53.5635963634068","9.817642430917935"
"110.952","3.5","2340","2021","Hamb.-Altstadt","44","2619599","Hamburg","20457","7","2","25.308","2019-03-28 23:00:00","53.54728690026146","10.000672996460077"
"318","9","3960","1932","Eppendorf","-412","2624441","Hamburg / Eppendorf","20249","1","","14.94","2019-06-30 22:00:00","53.59139383766652","9.993692027013278"
"108","4.5","1560","1904","Altona-Altstadt","-2888","2620973","Hamburg","22767","5","","17.328","2019-02-28 23:00:00","53.55979546312639","9.955814484256438"
"55.2","2.5","570","1999","Harburg","-1998","2609817","Hamburg","21073","5","","12.396","2019-06-30 22:00:00","53.458169341160364","9.9695011749885"
"48","1.5","548.4","","St. Pauli","-1860","2620803","Hamburg","20357","5","","13.716","2019-04-30 22:00:00","53.55825143958197","9.971543562304976"
"134.4","5.5","2344.8","1887","Rotherbaum","-1616","2621735","Hamburg","20146","7","","20.94","2019-05-30 22:00:00","53.566742143592016","9.975271818104204"
"81.6","3","938.4","1965","Lohbrügge","13301","2613997","Hamburg","21033","6","","13.8","2019-06-30 22:00:00","53.49608844300939","10.203209244500428"
"66","2.5","960","","Volksdorf","10714","2630624","Hamburg","22359","1","1","17.46","2019-04-30 22:00:00","53.64760555087921","10.164246628366445"
"40.8","1.5","540","1967","Lokstedt","-2832","2624114","Hamburg","22529","6","1","15.888","2019-04-30 22:00:00","53.58840782099378","9.956643263281881"
